t, days	M, rad	E, rad	Phi, rad	
573	5.24065	5.15631	5.0701
574	5.2498	5.16584	5.07999
575	5.25895	5.17538	5.0899
576	5.26809	5.18493	5.09982
577	5.27724	5.19449	5.10976
578	5.28638	5.20405	5.11972
579	5.29553	5.21362	5.12969
580	5.30467	5.2232	5.13968
581	5.31382	5.23279	5.14969
582	5.32297	5.24239	5.15971
583	5.33211	5.25199	5.16975
584	5.34126	5.2616	5.17981
585	5.3504	5.27122	5.18988
586	5.35955	5.28084	5.19997
587	5.3687	5.29048	5.21007
588	5.37784	5.30012	5.22019
589	5.38699	5.30977	5.23033
590	5.39613	5.31943	5.24048
591	5.40528	5.32909	5.25065
592	5.41443	5.33876	5.26083
593	5.42357	5.34844	5.27103
594	5.43272	5.35813	5.28124
595	5.44186	5.36782	5.29147
596	5.45101	5.37753	5.30172
597	5.46016	5.38723	5.31198
598	5.4693	5.39695	5.32226
599	5.47845	5.40667	5.33255
600	5.48759	5.41641	5.34286
601	5.49674	5.42614	5.35318
602	5.50589	5.43589	5.36352
603	5.51503	5.44564	5.37387
604	5.52418	5.4554	5.38424
605	5.53332	5.46517	5.39463
606	5.54247	5.47494	5.40502
607	5.55162	5.48472	5.41544
608	5.56076	5.49451	5.42586
609	5.56991	5.5043	5.4363
610	5.57905	5.5141	5.44676
611	5.5882	5.52391	5.45723
612	5.59735	5.53372	5.46772
613	5.60649	5.54354	5.47821
614	5.61564	5.55337	5.48873
615	5.62478	5.5632	5.49925
616	5.63393	5.57304	5.50979
617	5.64308	5.58289	5.52035
618	5.65222	5.59274	5.53091
619	5.66137	5.6026	5.5415
620	5.67051	5.61247	5.55209
621	5.67966	5.62234	5.5627
622	5.68881	5.63221	5.57332
623	5.69795	5.6421	5.58395
624	5.7071	5.65199	5.59459
625	5.71624	5.66188	5.60525
626	5.72539	5.67178	5.61592
627	5.73454	5.68169	5.6266
628	5.74368	5.6916	5.6373
629	5.75283	5.70152	5.64801
630	5.76197	5.71144	5.65872
